signal_date_index,signal_date,execution_date,return_period_end,direction,long_signal,short_signal,previous_position,new_position,applied_position,reason,event_type,entry,resize,reversal,exit,holding_period,execution_price,gross_return,turnover,opening_cost,closing_cost,cost,net_return
2016-01-08,2016-01-08,2016-01-08,2016-01-15,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,128.41799926757812,-0.0,0.0,0.0,0.0,0.0,-0.0
2016-01-15,2016-01-15,2016-01-15,2016-01-22,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,128.32899475097656,-0.0,0.0,0.0,0.0,0.0,-0.0
2016-01-22,2016-01-22,2016-01-22,2016-01-29,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,128.0399932861328,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29,2016-01-29,2016-01-29,2016-02-05,long,True,False,0.0,2.0,0.0,long_signal,entry,True,False,False,False,1,130.0399932861328,0.0,2.0,0.0,0.0,0.0,0.0
2016-02-05,2016-02-05,2016-02-05,2016-02-12,long,False,False,2.0,2.0,2.0,hold,hold,False,False,False,False,2,130.8699951171875,-0.015894630210390837,0.0,0.0,0.0,0.0,-0.015894630210390837
2016-02-12,2016-02-12,2016-02-12,2016-02-19,long,False,False,2.0,1.4583326711789832,2.0,hold,resize,False,True,False,False,3,127.30500030517578,-0.04200440434758357,0.5416673288210168,0.0,0.0,0.0,-0.04200440434758357
2016-02-19,2016-02-19,2016-02-19,2016-02-26,long,False,False,1.4583326711789832,1.3525497920845981,1.4583326711789832,hold,resize,False,True,False,False,4,125.78500366210938,-0.027924628419941748,0.10578287909438511,0.0,0.0,0.0,-0.027924628419941748
2016-02-26,2016-02-26,2016-02-26,2016-03-04,flat,False,False,1.3525497920845981,0.0,1.3525497920845981,max_holding_period,exit,False,False,False,True,0,124.66899871826172,-0.009943609862508312,1.3525497920845981,0.0,0.0,0.0,-0.009943609862508312
2016-03-04,2016-03-04,2016-03-04,2016-03-11,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,124.43000030517578,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-11,2016-03-11,2016-03-11,2016-03-18,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,126.14099884033205,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-18,2016-03-18,2016-03-18,2016-03-25,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,125.98400115966795,-0.0,0.0,0.0,0.0,0.0,-0.0
2016-03-25,2016-03-25,2016-03-25,2016-04-01,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,125.97899627685548,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,2016-04-01,2016-04-01,2016-04-08,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,128.00999450683594,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-08,2016-04-08,2016-04-08,2016-04-15,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,123.28700256347656,-0.0,0.0,0.0,0.0,0.0,-0.0
2016-04-15,2016-04-15,2016-04-15,2016-04-22,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,123.16000366210938,-0.0,0.0,0.0,0.0,0.0,-0.0
2016-04-22,2016-04-22,2016-04-22,2016-04-29,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,123.5530014038086,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-29,2016-04-29,2016-04-29,2016-05-06,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,122.73999786376952,-0.0,0.0,0.0,0.0,0.0,-0.0
2016-05-06,2016-05-06,2016-05-06,2016-05-13,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,122.322998046875,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-13,2016-05-13,2016-05-13,2016-05-20,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,124.0999984741211,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-20,2016-05-20,2016-05-20,2016-05-27,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,123.0999984741211,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-27,2016-05-27,2016-05-27,2016-06-03,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,122.7750015258789,-0.0,0.0,0.0,0.0,0.0,-0.0
2016-06-03,2016-06-03,2016-06-03,2016-06-10,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,121.38700103759766,-0.0,0.0,0.0,0.0,0.0,-0.0
2016-06-10,2016-06-10,2016-06-10,2016-06-17,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,121.14299774169922,-0.0,0.0,0.0,0.0,0.0,-0.0
2016-06-17,2016-06-17,2016-06-17,2016-06-24,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,117.9000015258789,-0.0,0.0,0.0,0.0,0.0,-0.0
2016-06-24,2016-06-24,2016-06-24,2016-07-01,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,118.8040008544922,-0.0,0.0,0.0,0.0,0.0,-0.0
2016-07-01,2016-07-01,2016-07-01,2016-07-08,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,114.46099853515624,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-08,2016-07-08,2016-07-08,2016-07-15,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,111.52999877929688,-0.0,0.0,0.0,0.0,0.0,-0.0
2016-07-15,2016-07-15,2016-07-15,2016-07-22,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,116.83000183105467,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-22,2016-07-22,2016-07-22,2016-07-29,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,116.71900177001952,-0.0,0.0,0.0,0.0,0.0,-0.0
2016-07-29,2016-07-29,2016-07-29,2016-08-05,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,116.09100341796876,-0.0,0.0,0.0,0.0,0.0,-0.0
2016-08-05,2016-08-05,2016-08-05,2016-08-12,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,112.6729965209961,-0.0,0.0,0.0,0.0,0.0,-0.0
2016-08-12,2016-08-12,2016-08-12,2016-08-19,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,113.39700317382812,-0.0,0.0,0.0,0.0,0.0,-0.0
2016-08-19,2016-08-19,2016-08-19,2016-08-26,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,113.61199951171876,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-26,2016-08-26,2016-08-26,2016-09-02,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,113.5009994506836,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-02,2016-09-02,2016-09-02,2016-09-09,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,115.62999725341795,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-09,2016-09-09,2016-09-09,2016-09-16,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,115.27999877929688,-0.0,0.0,0.0,0.0,0.0,-0.0
2016-09-16,2016-09-16,2016-09-16,2016-09-23,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,114.69000244140624,-0.0,0.0,0.0,0.0,0.0,-0.0
2016-09-23,2016-09-23,2016-09-23,2016-09-30,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,113.02100372314452,-0.0,0.0,0.0,0.0,0.0,-0.0
2016-09-30,2016-09-30,2016-09-30,2016-10-07,long,True,False,0.0,1.8385870546551422,0.0,long_signal,entry,True,False,False,False,1,113.53500366210938,0.0,1.8385870546551422,0.0,0.0,0.0,0.0
2016-10-07,2016-10-07,2016-10-07,2016-10-14,long,False,False,1.8385870546551422,1.7522459333106186,1.8385870546551422,hold,resize,False,True,False,False,2,115.6050033569336,0.020891897070349275,0.08634112134452354,0.0,0.0,0.0,0.020891897070349275
2016-10-14,2016-10-14,2016-10-14,2016-10-21,long,False,False,1.7522459333106186,1.8068747231003912,1.7522459333106186,hold,resize,False,True,False,False,3,114.58799743652344,-0.018502178330956822,0.05462878978977259,0.0,0.0,0.0,-0.018502178330956822
2016-10-21,2016-10-21,2016-10-21,2016-10-28,long,False,False,1.8068747231003912,1.8103758221814255,1.8068747231003912,hold,resize,False,True,False,False,4,113.78099822998048,-0.017113814064856913,0.0035010990810342424,0.0,0.0,0.0,-0.017113814064856913
2016-10-28,2016-10-28,2016-10-28,2016-11-04,flat,False,False,1.8103758221814255,0.0,1.8103758221814255,max_holding_period,exit,False,False,False,True,0,114.6439971923828,0.02858456438939509,1.8103758221814255,0.0,0.0,0.0,0.02858456438939509
2016-11-04,2016-11-04,2016-11-04,2016-11-11,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,114.38400268554688,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-11,2016-11-11,2016-11-11,2016-11-18,long,True,False,0.0,2.0,0.0,long_signal,entry,True,False,False,False,1,116.35700225830078,0.0,2.0,0.0,0.0,0.0,0.0
2016-11-18,2016-11-18,2016-11-18,2016-11-25,long,True,False,2.0,2.0,2.0,hold,hold,False,False,False,False,2,117.09400177001952,0.030140654143187007,0.0,0.0,0.0,0.0,0.030140654143187007
2016-11-25,2016-11-25,2016-11-25,2016-12-02,short,False,True,2.0,-1.8744325465624485,2.0,opposing_short_signal,reversal,False,False,True,False,1,119.61900329589844,0.035928163169392846,3.8744325465624483,0.0,0.0,0.0,0.035928163169392846
2016-12-02,2016-12-02,2016-12-02,2016-12-09,short,False,True,-1.8744325465624485,-1.8810557454235561,-1.8744325465624485,hold,resize,False,True,False,False,2,121.44499969482422,-0.007402998702832416,0.0066231988611076265,0.0,0.0,0.0,-0.007402998702832416
2016-12-09,2016-12-09,2016-12-09,2016-12-16,short,False,False,-1.8810557454235561,-1.8959322372805623,-1.8810557454235561,hold,resize,False,True,False,False,3,121.1500015258789,-0.02734204302915733,0.014876491857006124,0.0,0.0,0.0,-0.02734204302915733
2016-12-16,2016-12-16,2016-12-16,2016-12-23,short,False,False,-1.8959322372805623,-1.3660845947420315,-1.8959322372805623,hold,resize,False,True,False,False,4,123.16300201416016,-0.02091781078307128,0.5298476425385308,0.0,0.0,0.0,-0.02091781078307128
2016-12-23,2016-12-23,2016-12-23,2016-12-30,flat,False,False,-1.3660845947420315,0.0,-1.3660845947420315,max_holding_period,exit,False,False,False,True,0,122.67400360107422,0.005072777540313668,1.3660845947420315,0.0,0.0,0.0,0.005072777540313668
2016-12-30,2016-12-30,2016-12-30,2017-01-06,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,122.9260025024414,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06,2017-01-06,2017-01-06,2017-01-13,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,122.2300033569336,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-13,2017-01-13,2017-01-13,2017-01-20,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,121.70999908447266,-0.0,0.0,0.0,0.0,0.0,-0.0
2017-01-20,2017-01-20,2017-01-20,2017-01-27,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,122.52999877929688,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-27,2017-01-27,2017-01-27,2017-02-03,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,122.26399993896484,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-03,2017-02-03,2017-02-03,2017-02-10,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,121.36900329589844,-0.0,0.0,0.0,0.0,0.0,-0.0
2017-02-10,2017-02-10,2017-02-10,2017-02-17,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,120.89600372314452,-0.0,0.0,0.0,0.0,0.0,-0.0
2017-02-17,2017-02-17,2017-02-17,2017-02-24,long,True,False,0.0,2.0,0.0,long_signal,entry,True,False,False,False,1,120.91600036621094,-0.0,2.0,0.0,0.0,0.0,-0.0
2017-02-24,2017-02-24,2017-02-24,2017-03-03,long,False,False,2.0,2.0,2.0,hold,hold,False,False,False,False,2,119.26100158691406,-0.02674030595544785,0.0,0.0,0.0,0.0,-0.02674030595544785
2017-03-03,2017-03-03,2017-03-03,2017-03-10,long,False,False,2.0,2.0,2.0,hold,hold,False,False,False,False,3,120.13600158691406,0.042073341580758594,0.0,0.0,0.0,0.0,0.042073341580758594
2017-03-10,2017-03-10,2017-03-10,2017-03-17,long,False,False,2.0,1.6659721183200655,2.0,hold,resize,False,True,False,False,4,121.7959976196289,0.02998628785949986,0.33402788167993447,0.0,0.0,0.0,0.02998628785949986
2017-03-17,2017-03-17,2017-03-17,2017-03-24,flat,False,False,1.6659721183200655,0.0,1.6659721183200655,max_holding_period,exit,False,False,False,True,0,122.09600067138672,-0.022150986313850526,1.6659721183200655,0.0,0.0,0.0,-0.022150986313850526
2017-03-24,2017-03-24,2017-03-24,2017-03-31,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,119.6989974975586,-0.0,0.0,0.0,0.0,0.0,-0.0
2017-03-31,2017-03-31,2017-03-31,2017-04-07,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,119.44000244140624,-0.0,0.0,0.0,0.0,0.0,-0.0
2017-04-07,2017-04-07,2017-04-07,2017-04-14,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,118.03399658203124,-0.0,0.0,0.0,0.0,0.0,-0.0
2017-04-14,2017-04-14,2017-04-14,2017-04-21,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,115.8759994506836,-0.0,0.0,0.0,0.0,0.0,-0.0
2017-04-21,2017-04-21,2017-04-21,2017-04-28,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,117.19400024414062,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-28,2017-04-28,2017-04-28,2017-05-05,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,120.83499908447266,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-05,2017-05-05,2017-05-05,2017-05-12,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,123.58100128173828,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-12,2017-05-12,2017-05-12,2017-05-19,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,123.64800262451172,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-19,2017-05-19,2017-05-19,2017-05-26,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,123.8000030517578,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-26,2017-05-26,2017-05-26,2017-06-02,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,125.2490005493164,-0.0,0.0,0.0,0.0,0.0,-0.0
2017-06-02,2017-06-02,2017-06-02,2017-06-09,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,124.95600128173828,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-09,2017-06-09,2017-06-09,2017-06-16,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,122.8730010986328,-0.0,0.0,0.0,0.0,0.0,-0.0
2017-06-16,2017-06-16,2017-06-16,2017-06-23,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,123.66999816894533,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-23,2017-06-23,2017-06-23,2017-06-30,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,124.05999755859376,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-30,2017-06-30,2017-06-30,2017-07-07,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,128.12899780273438,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-07,2017-07-07,2017-07-07,2017-07-14,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,129.26699829101562,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-14,2017-07-14,2017-07-14,2017-07-21,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,129.3300018310547,-0.0,0.0,0.0,0.0,0.0,-0.0
2017-07-21,2017-07-21,2017-07-21,2017-07-28,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,130.1009979248047,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-28,2017-07-28,2017-07-28,2017-08-04,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,129.85000610351562,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-04,2017-08-04,2017-08-04,2017-08-11,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,130.58299255371094,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-11,2017-08-11,2017-08-11,2017-08-18,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,128.41200256347656,-0.0,0.0,0.0,0.0,0.0,-0.0
2017-08-18,2017-08-18,2017-08-18,2017-08-25,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,128.07000732421875,-0.0,0.0,0.0,0.0,0.0,-0.0
2017-08-25,2017-08-25,2017-08-25,2017-09-01,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,129.17999267578125,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,2017-09-01,2017-09-01,2017-09-08,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,131.16099548339844,-0.0,0.0,0.0,0.0,0.0,-0.0
2017-09-08,2017-09-08,2017-09-08,2017-09-15,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,130.22799682617188,-0.0,0.0,0.0,0.0,0.0,-0.0
2017-09-15,2017-09-15,2017-09-15,2017-09-22,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,131.03199768066406,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-22,2017-09-22,2017-09-22,2017-09-29,flat,False,False,0.0,0.0,0.0,no_signal,none,False,False,False,False,0,134.322998046875,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-29,2017-09-29,2017-09-29,2017-10-06,short,False,True,0.0,-1.2128895501665258,0.0,short_signal,entry,True,False,False,False,1,132.4969940185547,-0.0,1.2128895501665258,0.0,0.0,0.0,-0.0
2017-10-06,2017-10-06,2017-10-06,2017-10-13,short,False,True,-1.2128895501665258,-1.3416618751499094,-1.2128895501665258,hold,resize,False,True,False,False,2,132.0760040283203,0.008168446186785706,0.12877232498338365,0.0,0.0,0.0,0.008168446186785706
2017-10-13,2017-10-13,2017-10-13,2017-10-20,short,False,True,-1.3416618751499094,-1.323815206102004,-1.3416618751499094,hold,resize,False,True,False,False,3,132.77999877929688,-0.0002842749807024007,0.017846669047905328,0.0,0.0,0.0,-0.0002842749807024007
2017-10-20,2017-10-20,2017-10-20,2017-10-27,short,False,True,-1.323815206102004,-1.4987265501110802,-1.323815206102004,hold,resize,False,True,False,False,4,133.4929962158203,-0.018839368235708163,0.17491134400907615,0.0,0.0,0.0,-0.018839368235708163
2017-10-27,2017-10-27,2017-10-27,2017-11-03,flat,False,True,-1.4987265501110802,0.0,-1.4987265501110802,max_holding_period,exit,False,False,False,True,0,132.80299377441406,0.02361166951838876,1.4987265501110802,0.0,0.0,0.0,0.02361166951838876
2017-11-03,2017-11-03,2017-11-03,2017-11-10,short,False,True,0.0,-1.0537102845915585,0.0,short_signal,entry,True,False,False,False,1,132.91000366210938,0.0,1.0537102845915585,0.0,0.0,0.0,0.0
2017-11-10,2017-11-10,2017-11-10,2017-11-17,short,False,False,-1.0537102845915585,-1.00911023033412,-1.0537102845915585,hold,resize,False,True,False,False,2,132.0399932861328,0.0005005464499793969,0.044600054257438515,0.0,0.0,0.0,0.0005005464499793969
